school_id,school_name
341,고려대학교 정보경영공학전문대학원
342,고려대학교 정보보호대학원
343,고려대학교 정책대학원
344,고려대학교 컴퓨터정보통신대학원
345,고려대학교(세종) 경영정보대학원
346,고려대학교(세종) 문화스포츠대학원
347,고려대학교(세종) 융합과학대학원
348,경희대학교 체육대학원
349,경희대학교 치의학전문대학원
350,경희대학교 테크노경영대학원
351,경희대학교 평화복지대학원
352,경희대학교 행정대학원
353,경희사이버대학교 문화창조대학원
354,경희사이버대학교 호텔관광대학원
355,계명대학교 경영대학원
356,계명대학교 교육대학원
357,계명대학교 글로벌창업대학원
358,계명대학교 대학원
359,계명대학교 스포츠산업대학원
360,계명대학교 스포츠융합과학대학원
361,계명대학교 연합신학대학원
362,계명대학교 예술대학원
363,계명대학교 유아교육대학원
364,계명대학교 융합공학대학원
365,계명대학교 정책대학원
366,고려대학교 KU-KIST융합대학원
367,고려대학교 SW AI융합대학원
368,고려대학교 개인정보보호대학원
369,고려대학교 경영전문대학원
370,고려대학교 공학대학원
371,경운대학교 산업정보대학원
372,경운대학교 산업정보대학원(산업대)
373,경운대학교 일반대학원
374,경인교육대학교 교육전문대학원
375,경일대학교 K-글로벌대학원
376,경일대학교 보건복지대학원
377,경일대학교 산업경영대학원
378,경일대학교 일반대학원
379,경희대학교 NGO대학원
380,경희대학교 간호대학원
381,경희대학교 경영대학원
382,경희대학교 공공대학원
383,경희대학교 관광대학원
384,경희대학교 교육대학원
385,경희대학교 국제대학원
386,경희대학교 국제법무대학원
387,경희대학교 대학원
388,경희대학교 동서의학대학원
389,경희대학교 미디어커뮤니케이션대학원
390,경희대학교 법무대학원
391,경희대학교 법학전문대학원
392,경희대학교 아트퓨전디자인대학원
393,경희대학교 언론정보대학원
394,경희대학교 의학전문대학원
395,경북대학교 행정대학원
396,경상국립대학교 건축도시토목대학원
397,경상국립대학교 경영대학원
398,경상국립대학교 교육대학원
399,경상국립대학교 대학원
400,경상국립대학교 보건대학원
401,경상국립대학교 산업복지대학원
402,경상국립대학교 스마트미래농업대학원
403,경상국립대학교 융합과학기술대학원
404,경상국립대학교 의학전문대학원
405,경상국립대학교 창업대학원
406,경상국립대학교 토지주택대학원
407,경상국립대학교 항공우주특성화대학원
408,경상국립대학교 행정대학원
409,경성대학교 경영대학원
410,경성대학교 교육대학원
411,경성대학교 디지털디자인전문대학원
412,경성대학교 멀티미디어대학원
413,경성대학교 사회복지대학원
414,경성대학교 예술종합대학원
415,경성대학교 일반대학원
416,경성대학교 임상약학대학원
417,경성대학교 임상약학보건대학원
418,경운대학교 사회복지대학원
419,경운대학교 사회복지대학원(산업대)
420,경남과학기술대학교 창업대학원
421,경남대학교 교육대학원
422,경남대학교 대학원
423,경남대학교 북한대학원
424,경남대학교 산업경영대학원
425,경남대학교 행정대학원
426,경북대학교 경영대학원
427,경북대학교 과학기술대학원
428,경북대학교 교육대학원
429,경북대학교 국제대학원
430,경북대학교 농업생명융합대학원
431,경북대학교 데이터사이언스대학원
432,경북대학교 법학전문대학원
433,경북대학교 보건대학원
434,경북대학교 사회정책대학원
435,경북대학교 산업대학원
436,경북대학교 수사과학대학원
437,경북대학교 스마트농생명식품융합대학원
438,경북대학교 식물방역대학원
439,경북대학교 의학전문대학원
440,경북대학교 일반대학원
441,경북대학교 임상간호대학원
442,경북대학교 정책정보대학원
443,경북대학교 치의학전문대학원
444,경기대학교 건축대학원
445,경기대학교 건축전문대학원
446,경기대학교 공학대학원
447,경기대학교 관광전문대학원
448,경기대학교 교육대학원
449,경기대학교 국제ㆍ문화대학원
450,경기대학교 대체의학대학원
451,경기대학교 문화예술대학원
452,경기대학교 미술디자인대학원
453,경기대학교 사회복지대학원
454,경기대학교 산업정보대학원
455,경기대학교 서비스경영전문대학원
456,경기대학교 스포츠과학대학원
457,경기대학교 예술대학원
458,경기대학교 일반대학원
459,경기대학교 정치전문대학원
460,경기대학교 조형대학원
461,경기대학교 한류문화대학원
462,경기대학교 행정대학원
463,경기대학교 행정복지상담대학원
464,경기대학교 행정사회복지대학원
465,경남과학기술대학교 국제식량안보대학원
466,경남과학기술대학교 대학원
467,경남과학기술대학교 산업복지대학원
468,건국대학교 산업대학원
469,건국대학교 수의방역대학원
470,건국대학교 언론홍보대학원
471,건국대학교 예술디자인대학원
472,건국대학교 일반대학원
473,건국대학교 정보통신대학원
474,건국대학교 행정대학원
475,건국대학교(글로컬) 교육대학원
476,건국대학교(글로컬) 사회과학대학원
477,건국대학교(글로컬) 의학전문대학원
478,건국대학교(글로컬) 일반대학원
479,건국대학교(글로컬) 창의융합대학원
480,건양대학교 경영사회복지대학원
481,건양대학교 경영사회복지대학원
482,건양대학교 교육대학원
483,건양대학교 국방관리대학원
484,건양대학교 군사경찰행정대학원
485,건양대학교 바이오비임상대학원
486,건양대학교 바이오융합대학원
487,건양대학교 보건복지대학원
