school_id,school_name
2458,진량고등학교
2459,진보고등학교
2460,진부고등학교
2461,진서고등학교
2462,진안공업고등학교
2463,진안제일고등학교
2464,진영고등학교
2465,진영제일고등학교
2466,진주외국어고등학교
2467,진주혜광학교
2468,진천고등학교
2469,진천상업고등학교
2470,창녕고등학교
2471,창녕공업고등학교
2472,창녕대성고등학교
2473,창녕슈퍼텍고등학교
2474,창녕여자고등학교
2475,창녕옥야고등학교
2476,창선고등학교
2477,창원대산고등학교
2478,창원동백학교
2479,창평고등학교
2480,천상고등학교
2481,천안인애학교
2482,천천고등학교
2483,철성고등학교
2484,철원고등학교
2485,철원여자고등학교
2486,청도고등학교
2487,청도전자고등학교
2488,청산고등학교
2489,청송고등학교
2490,청송여자고등학교
2491,청송자동차고등학교
2492,청양고등학교
2493,청원고등학교
2494,청주혜화학교
2495,초계고등학교
2496,춘천동원학교
2497,춘천여자고등학교
2498,춘천여자고등학교부설방송통신고등학교
2499,춘천한샘고등학교
2500,충남과학고등학교
2501,충남디자인예술고등학교
2502,충남삼성고등학교
2503,충남예술고등학교
2504,충남외국어고등학교
2505,충남인터넷고등학교
2506,충남조선공업고등학교
2507,충렬여자고등학교
2508,충북과학고등학교
2509,충북반도체고등학교
2510,충북산업과학고등학교
2511,충북생명산업고등학교
2512,충북에너지고등학교
2513,충북체육고등학교
2514,충원고등학교
2515,칠곡고등학교
2516,칠보고등학교
2517,칠원고등학교
2518,태봉고등학교
2519,태안고등학교
2520,태안여자고등학교
2521,태인고등학교
2522,통영잠포학교
2523,팔렬고등학교
2524,평창고등학교
2525,평해정보고등학교
2526,포산고등학교
2527,포은고등학교
2528,포항과학기술고등학교
2529,포항동성고등학교
2530,포항예술고등학교
2531,포항흥해공업고등학교
2532,표선고등학교
2533,푸른꿈고등학교
2534,풀무농업고등기술학교
2535,풍산고등학교
2536,풍양고등학교
2537,하동고등학교
2538,하동여자고등학교
2539,하양여자고등학교
2540,하의고등학교
2541,하장고등학교
2542,학산고등학교
2543,한국게임과학고등학교
2544,한국경마축산고등학교
2545,한국교원대학교부설고등학교
2546,한국마사고등학교
2547,한국말산업고등학교
2548,한국바둑고등학교
2549,한국바이오마이스터고등학교
2550,한국뷰티고등학교
2551,한국산림과학고등학교
2552,한국식품마이스터고등학교
2553,한국원자력마이스터고등학교
2554,한국치즈과학고등학교
2555,한국한방고등학교
2556,한국항만물류고등학교
2557,한국호텔관광고등학교
2558,한동글로벌학교
2559,한들고등학교
2560,한림고등학교
2561,한림공업고등학교
2562,한마음고등학교
2563,한별고등학교
2564,한빛고등학교
2565,한울고등학교
2566,한울학교
2567,한일고등학교
2568,함덕고등학교
2569,함백고등학교
2570,함안고등학교
2571,함양고등학교
2572,함양제일고등학교
2573,함열고등학교
2574,함창고등학교
2575,함평고등학교
2576,함평골프고등학교
2577,함평여자고등학교
2578,함평영화학교
2579,함평학다리고등학교
2580,합덕여자고등학교
2581,합덕제철고등학교
2582,합천고등학교
2583,합천여자고등학교
2584,해남고등학교
2585,해남공업고등학교
2586,해룡고등학교
2587,해리고등학교
2588,현도정보고등학교
2589,현서고등학교
2590,현일고등학교
2591,현천고등학교
2592,현풍고등학교
2593,형석고등학교
2594,호남원예고등학교
2595,홍성고등학교
2596,홍성고등학교부설방송통신고등학교
2597,홍성공업고등학교
2598,홍성여자고등학교
2599,홍주고등학교
2600,홍천농업고등학교
2601,홍천여자고등학교
2602,화령고등학교
2603,화순고등학교
2604,화순이양고등학교
2605,화원고등학교
2606,화원고등학교
2607,화천고등학교
2608,화천정보산업고등학교
2609,황간고등학교
2610,횡성고등학교
2611,횡성여자고등학교
2612,효령고등학교
2613,효청보건고등학교
2614,후포고등학교
